statistics_date,HKN,HCN,TNN,XAN,QJN,JBN,ZJN,IHN,JTN,TJN,TEN,MJN,MHN,IYN,GDN,VTN
20190209,17029074.0,150024.0,972885.0,112542.0,540265.0,1705652.0,129388.0,270.0,115.0,14139.0,20.0,1226.0,1502.0,162.0,168823.0,0.0
20190210,17998727.0,145978.0,830957.0,98645.0,548622.0,1659643.0,128814.0,69.0,204.0,11693.0,20.0,563.3,2067.3,322.0,183814.0,0.0
20190211,20493987.0,139038.0,760103.0,85102.0,518985.0,1610559.0,118878.0,207.0,653.0,11585.0,0.0,575.2,1740.5,533.0,191496.0,0.0
20190212,20140507.0,132271.0,865623.0,99107.0,596381.0,1834290.0,123871.0,296.0,145.0,12011.0,0.0,573.6,1796.4,500.0,190916.0,0.0
20190213,19678610.0,123279.0,837648.0,97386.0,577925.0,1741160.0,128272.0,241.0,179.0,11839.0,0.0,720.5,1562.1,337.0,180912.0,0.0
20190214,18308575.0,108163.0,909703.0,78203.0,547967.0,1620958.0,126781.0,125.0,72.0,12584.0,0.0,572.5,1941.2,181.0,169347.0,0.0
20190215,15481859.0,114311.0,861993.0,99039.0,503991.0,1661906.0,120372.0,164.0,166.0,11051.0,0.0,652.0,1516.2,250.0,162292.0,0.0
20190216,14975399.0,109132.0,900385.0,98676.0,558255.0,1745121.0,100741.0,46.0,153.0,13361.0,0.0,642.2,1696.8,335.0,151666.0,0.0
20190217,14035154.0,116094.0,922296.0,72058.0,560548.0,1738171.0,123628.0,158.0,235.0,12839.0,0.0,455.8,1962.3,655.0,152556.0,0.0
20190218,11929948.0,159803.0,1338495.0,131196.0,779534.0,2433595.0,174157.0,184.0,315.0,10552.0,0.0,845.5,1345.1,199.0,135044.0,0.0
20190219,9286263.0,154284.0,1320955.0,123687.0,739112.0,2247705.0,146725.0,238.0,154.0,14089.0,10.0,865.9,1365.7,389.0,112786.0,0.0
20190220,13174945.0,148502.0,1274637.0,157410.0,768720.0,2188955.0,144964.0,92.0,204.0,12122.0,0.0,643.9,1469.4,357.0,163782.0,0.0
20190221,14040429.0,119876.0,1316644.0,143105.0,773451.0,2435789.0,110316.0,72.0,88.0,11274.0,0.0,489.5,1213.8,155.0,167108.0,0.0
20190222,13939729.0,137370.0,1320510.0,127693.0,837538.0,2231435.0,148527.0,205.0,81.0,12442.0,0.0,811.3,1466.8,179.0,164887.0,0.0
20190223,12764867.0,144292.0,1221765.0,75558.0,903993.0,2121119.0,126875.0,128.0,78.0,12422.0,0.0,417.8,1867.3,362.0,189707.0,0.0
20190224,12283988.0,149964.0,1453096.0,85396.0,952156.0,2300153.0,145052.0,152.0,417.0,13460.0,163.0,932.7,2485.7,1042.0,217813.0,0.0
20190225,11207574.0,156030.0,1611104.0,90305.0,1101683.0,2377730.0,173573.0,59.0,65.0,16601.0,11.0,307.8,1023.7,79.0,148750.0,0.0
20190226,10044235.0,148799.0,1388517.0,79609.0,885098.0,2025425.0,166932.0,36.0,34.0,12594.0,0.0,462.5,690.8,67.0,116852.0,0.0
20190227,9370182.0,149770.0,1240523.0,66266.0,793617.0,1953227.0,165472.0,91.0,49.0,9784.0,0.0,355.2,672.3,78.0,103402.0,0.0
20190228,9432959.0,143925.0,1200000.0,66855.0,676859.0,1828594.0,138678.0,47.0,78.0,11283.0,0.0,325.1,1011.3,91.0,107936.0,0.0
20190301,10023689.0,144650.0,954001.0,49413.0,587903.0,1923229.0,143180.0,173.0,148.0,10337.0,0.0,331.5,836.7,155.0,113770.0,0.0
20190302,8768812.0,129607.0,943409.0,54680.0,581751.0,1757555.0,140167.0,113.0,98.0,11855.0,15.0,340.7,815.3,212.0,126642.0,0.0
20190303,9221448.0,141995.0,886228.0,47749.0,541688.0,1700573.0,155265.0,199.0,266.0,12290.0,0.0,304.0,1288.3,690.0,121653.0,0.0
20190304,8793151.0,131311.0,897687.0,58617.0,608729.0,1725456.0,133779.0,141.0,49.0,11747.0,20.0,251.2,812.5,149.0,126220.0,0.0
20190305,8109439.0,108065.0,739606.0,34899.0,489057.0,1473888.0,127094.0,116.0,72.0,9322.0,0.0,118.1,936.2,102.0,99825.0,0.0
20190306,8019726.0,121872.0,761825.0,34399.0,445230.0,1491847.0,124948.0,84.0,98.0,9697.0,11.0,351.7,527.4,72.0,97272.0,0.0
20190307,7867572.0,110667.0,619143.0,36207.0,417444.0,1486597.0,136889.0,81.0,86.0,10022.0,0.0,136.5,558.5,80.0,95060.0,0.0
20190308,9669851.0,125923.0,775772.0,38132.0,477688.0,1655987.0,141439.0,132.0,320.0,10287.0,0.0,235.9,1015.0,90.0,121610.0,0.0
20190309,8095061.0,111173.0,697609.0,36747.0,437456.0,1549941.0,120091.0,276.0,99.0,11578.0,0.0,529.5,905.3,143.0,129142.0,0.0
20190310,9326065.0,143800.0,807791.0,49269.0,483290.0,1702584.0,156855.0,175.0,186.0,13183.0,0.0,356.7,1625.1,831.0,130986.0,0.0
20190311,9089525.0,130752.0,747402.0,41615.0,492231.0,1683083.0,143771.0,179.0,33.0,8291.0,1132.0,230.0,909.6,172.0,124292.0,0.0
20190312,8191105.0,121458.0,671813.0,39931.0,427437.0,1468746.0,118779.0,83.0,52.0,11308.0,0.0,120.0,1125.1,159.0,103609.0,0.0
20190313,8149818.0,92479.0,593571.0,31644.0,420999.0,1451766.0,101004.0,197.0,65.0,9291.0,11.0,82.1,598.3,154.0,97756.0,0.0
20190314,8310174.0,111612.0,624075.0,31841.0,403395.0,1465917.0,128663.0,102.0,86.0,9193.0,52.0,155.3,547.5,297.0,66520.0,0.0
20190315,10297797.0,132590.0,691389.0,29388.0,485465.0,1752477.0,141132.0,147.0,78.0,10358.0,0.0,152.8,758.8,303.0,124060.0,0.0
20190316,8640567.0,125276.0,699276.0,37803.0,442509.0,1653168.0,137779.0,27.0,82.0,12944.0,0.0,250.5,822.5,220.0,133263.0,0.0
20190317,10456206.0,153434.0,777905.0,33921.0,510357.0,1724290.0,152766.0,298.0,132.0,11889.0,0.0,596.9,1781.7,870.0,130908.0,0.0
20190318,9464883.0,139078.0,754402.0,42474.0,492264.0,1664725.0,171674.0,48.0,82.0,12459.0,0.0,467.2,758.2,359.0,130837.0,0.0
20190319,8470280.0,100147.0,610417.0,32237.0,398362.0,1476382.0,132885.0,62.0,46.0,10447.0,0.0,212.0,534.3,205.0,98943.0,0.0
20190320,8957023.0,104728.0,598979.0,27759.0,410528.0,1485432.0,131181.0,127.0,33.0,10923.0,0.0,58.7,353.7,312.0,96268.0,0.0
20190321,8935519.0,94139.0,591435.0,29202.0,368161.0,1439254.0,119835.0,229.0,164.0,9349.0,0.0,314.0,468.3,154.0,93981.0,0.0
20190322,10983502.0,112759.0,628308.0,31663.0,443083.0,1558035.0,130994.0,170.0,864.0,9635.0,0.0,165.0,974.9,251.0,113804.0,0.0
20190323,9176965.0,93380.0,593048.0,26602.0,416661.0,1518889.0,125078.0,72.0,0.0,10233.0,0.0,266.5,541.3,349.0,122592.0,0.0
20190324,11343050.0,144395.0,778702.0,42289.0,462014.0,1579949.0,137929.0,57.0,228.0,12516.0,0.0,480.2,1509.1,702.0,126821.0,0.0
20190325,10180558.0,122087.0,778702.0,34049.0,495080.0,1664009.0,148948.0,122.0,92.0,13144.0,0.0,226.7,526.4,212.0,126833.0,0.0
20190326,9182589.0,116611.0,599331.0,30573.0,420845.0,1611885.0,132224.0,121.0,37.0,10438.0,0.0,259.1,680.9,300.0,101147.0,0.0
20190327,9217954.0,111576.0,689332.0,28350.0,425546.0,1514859.0,129540.0,125.0,148.0,9176.0,0.0,350.7,633.0,130.0,98157.0,0.0
20190328,9280085.0,118560.0,568625.0,26317.0,425219.0,1478972.0,124509.0,196.0,88.0,9175.0,10.0,188.4,954.3,178.0,93679.0,0.0
20190329,11776640.0,110250.0,786512.0,30302.0,448260.0,1679245.0,137333.0,158.0,138.0,10284.0,0.0,651.7,762.7,243.0,113707.0,0.0
20190330,10461021.0,109253.0,600050.0,31345.0,435483.0,1558013.0,158426.0,94.0,98.0,12398.0,0.0,447.8,798.5,310.0,123802.0,0.0
20190331,12369748.0,130489.0,698356.0,43043.0,460723.0,1671199.0,169208.0,140.0,376.0,15007.0,0.0,370.1,972.0,593.0,123209.0,0.0
20190401,10260677.0,127084.0,745150.0,36059.0,509085.0,1673342.0,141110.0,256.0,120.0,13603.0,0.0,300.5,601.3,222.0,116842.0,0.0
20190402,8880551.0,102374.0,556469.0,31448.0,392495.0,1529317.0,118832.0,147.0,173.0,12954.0,0.0,384.8,488.5,302.0,92364.0,0.0
20190403,9903200.0,131315.0,603668.0,32537.0,440719.0,1633474.0,137123.0,164.0,97.0,14334.0,10.0,507.5,1068.4,160.0,104774.0,0.0
20190404,16361819.0,158647.0,712822.0,36270.0,511384.0,2231507.0,153333.0,146.0,243.0,15645.0,0.0,496.1,1157.3,260.0,151516.0,0.0
20190405,14288045.0,190187.0,859551.0,50137.0,525615.0,2061820.0,149324.0,183.0,320.0,14680.0,0.0,933.9,1420.9,345.0,169475.0,0.0
20190406,10337494.0,259252.0,1158894.0,92412.0,559163.0,1834190.0,138402.0,44.0,238.0,15569.0,744.0,915.8,2177.0,506.0,172342.0,0.0
20190407,17826199.0,337518.0,1438623.0,123960.0,755999.0,2416957.0,197886.0,94.0,228.0,13860.0,0.0,562.9,2592.1,959.0,181750.0,0.0
20190408,16201813.0,268702.0,1265123.0,93110.0,734275.0,2939160.0,206598.0,105.0,161.0,13763.0,0.0,298.4,1699.0,480.0,173099.0,0.0
20190409,11676983.0,171589.0,893412.0,46799.0,496598.0,1992330.0,161186.0,159.0,190.0,10098.0,0.0,512.0,717.1,226.0,118291.0,0.0
20190410,10676919.0,148728.0,741131.0,32270.0,436884.0,1859649.0,158891.0,114.0,55.0,8513.0,0.0,249.1,465.0,69.0,109873.0,0.0
20190411,9941785.0,134032.0,657182.0,31363.0,446611.0,1677137.0,147864.0,92.0,63.0,9590.0,438.0,148.6,626.9,150.0,102232.0,0.0
20190412,11724640.0,140285.0,663072.0,33871.0,487147.0,2065062.0,152100.0,180.0,164.0,9504.0,0.0,187.2,703.1,123.0,124093.0,0.0
20190413,9884799.0,124247.0,628953.0,31560.0,418113.0,1679952.0,139138.0,37.0,114.0,10207.0,424.0,502.0,998.4,228.0,125263.0,0.0
20190414,11856620.0,133792.0,678703.0,32195.0,480105.0,1898925.0,148957.0,446.0,252.0,11485.0,12.0,648.9,980.6,611.0,125110.0,0.0
20190415,11687279.0,128192.0,730172.0,38235.0,511246.0,1959679.0,141192.0,83.0,128.0,12807.0,0.0,156.6,1297.6,122.0,124564.0,0.0
20190416,9852420.0,124803.0,643748.0,37456.0,438698.0,1626962.0,140137.0,177.0,97.0,11898.0,0.0,268.3,696.9,59.0,98092.0,0.0
20190417,9985873.0,120290.0,604658.0,39294.0,424411.0,1561196.0,139678.0,92.0,118.0,7604.0,0.0,510.4,829.9,129.0,103191.0,0.0
20190418,10794278.0,113491.0,603260.0,41315.0,431873.0,1593905.0,139228.0,162.0,213.0,8096.0,0.0,86.2,758.6,85.0,99492.0,0.0
20190419,13407140.0,115895.0,627863.0,28385.0,465346.0,1749467.0,146153.0,189.0,108.0,10921.0,0.0,302.3,679.9,182.0,131824.0,0.0
20190420,10982768.0,121333.0,610400.0,30578.0,477823.0,1712717.0,141956.0,117.0,268.0,11258.0,10.0,68.4,916.7,150.0,121113.0,0.0
20190421,12758777.0,122329.0,631864.0,42904.0,479817.0,2162517.0,155850.0,341.0,194.0,16130.0,11.0,572.2,1255.1,543.0,128272.0,0.0
20190422,10752147.0,127092.0,682756.0,40750.0,473837.0,1844448.0,143677.0,94.0,53.0,12083.0,0.0,203.2,636.0,73.0,122793.0,0.0
20190423,9456451.0,141246.0,547300.0,29400.0,413609.0,1547950.0,156441.0,147.0,30.0,10509.0,350.0,221.6,651.9,99.0,96758.0,0.0
20190424,9772402.0,114809.0,552950.0,29668.0,416155.0,1663014.0,126678.0,158.0,57.0,9706.0,0.0,69.5,463.4,174.0,98831.0,0.0
