20190517,11803188,152801,633523,37448,498063,1840026,154925,292,67,10267,0,333.7,762.7,251,122532,0
20190518,10127813,141902,655456,38050,495755,1750470,147473,234,198,11306,0,194.3,795.5,172,125488,0
20190519,12107418,136643,788736,37389,588515,1869270,156677,217,203,15851,0,399.1,1371.3,748,127129,0
20190520,11020346,144557,775651,41509,562097,1833103,141172,186,128,12110,0,296.2,723.7,86,133923,0
20190521,9541823,129940,803477,41427,477905,1656550,145750,149,58,11326,0,269.9,508.9,160,112777,0
20190522,9320060,122621,632068,29870,447410,1610435,127885,191,57,9690,0,212.4,750.6,71,97273,0
20190523,9492624,107501,626922,35048,403199,1677203,139146,61,65,11207,0,211.1,605.7,121,96525,0
20190524,11519514,124055,726925,30346,488301,1844987,156102,88,103,10280,0,337.5,849.3,121,113024,0
20190525,9449723,116201,578583,31576,488301,1511680,137643,223,129,10566,0,291.3,591,441,113860,0
20190526,10984602,127641,646232,50739,523717,1819931,137102,351,168,11818,10,540.8,1142.9,832,127805,0
20190527,9707633,139149,683157,34988,508677,1794091,150294,49,47,15543,11,104.1,995,124,125796,0
20190528,8841886,125876,589156,28251,429951,1624099,129817,213,24,13689,0,133.1,495.5,229,98224,0
20190529,8664260,105213,547794,45289,425686,1515096,126038,92,66,11402,0,138.8,623.3,39,95785,0
20190530,8828857,107456,550811,32478,438610,1547322,132987,73,29,10316,0,93,445.8,74,93179,0
20190531,10746692,145235,605311,32847,482282,1706472,141036,231,127,11911,0,146.6,647.3,393,108309,0
20190601,9013280,135094,600125,35427,479482,1512566,134737,70,63,15217,0,580.3,755,303,139678,0
20190602,9806317,140372,751646,65881,577647,1686198,147498,378,181,16363,0,311,1465.2,752,141224,0
20190603,9142732,137456,734656,48086,534033,1709602,150163,110,79,14373,0,245.4,613.8,81,123482,0
20190604,8332799,118642,635501,34524,426626,1496194,129794,48,97,13080,126,196.5,642.6,148,91487,0
20190605,9695600,139284,707621,39261,436266,1667907,132228,140,82,11260,0,166.5,734,83,99661,0
20190606,16024692,165988,768146,42453,519862,2152459,139515,207,236,16050,0,598.3,1339.6,359,150023,0
20190607,13802120,175056,645270,40742,445754,1721516,145880,223,238,21273,0,1000.2,1598.1,366,176204,0
20190608,7974602,162401,864072,82267,621224,1721546,178401,451,492,29075,11,999.3,2493.6,818,165920,0
20190609,15958471,235839,1364590,140076,883373,2658987,248138,677,461,18364,9,1375,4124.8,2131,244718,0
20190610,14121233,191698,866947,77369,846885,3005005,243219,136,87,16856,0,612.7,1668.2,243,189400,0
20190611,11088158,178227,891412,61432,633031,2085985,168320,283,83,13636,0,285.2,626.9,122,118529,0
20190612,10232901,143608,781110,43797,573918,1875171,167385,37,33,9257,0,285.9,743.1,139,116057,0
20190613,9849663,140943,707797,39153,490769,1794687,155199,107,46,11172,0,352.3,693.1,41,109523,0
20190614,11428595,156095,712971,38294,503843,1951910,147373,122,169,9485,0,286.7,557.4,136,126454,0
20190615,10285718,158659,709265,36040,515310,2020564,149225,108,298,14896,0,470.4,557.4,346,147905,0
20190616,11970413,138721,799525,44773,695157,1995588,146042,137,226,10572,0,475.5,1259.1,974,134075,0
20190617,12399704,185132,709875,40994,569956,1956504,151713,106,120,12985,0,143.1,454.5,128,118775,0
20190618,9888996,135401,665593,36946,537201,1600600,134207,114,86,12526,0,432.2,567.2,102,98424,0
20190619,9896762,134311,669865,41664,467667,1703086,145588,88,202,11582,0,240.2,622,109,102875,0
20190620,10523929,139627,656897,43879,481190,1911436,145382,24,30,12024,0,105.3,898.6,95,103637,0
20190621,13524804,118347,642430,39854,439211,1875354,138251,151,119,11040,0,475.4,951.9,191,115074,0
20190622,11788231,165838,828214,38399,487775,2012832,138324,123,69,13516,0,595.6,872.7,328,129947,0
20190623,13170980,151099,923797,57264,692005,1860897,152526,407,230,15935,0,315.9,1072.9,712,138470,0
20190624,11192205,152921,818092,57487,585609,1826570,153633,169,182,14216,0,131.8,339.7,116,142588,0
20190625,10277400,145679,759514,52793,487510,1720144,141087,129,107,12929,0,225.4,763.1,81,132185,0
20190626,10921846,131409,717749,44136,501116,1678756,151375,73,7,10846,0,231.9,873.8,67,119088,0
20190627,11812076,138668,704233,44867,577114,1785998,145154,138,156,12279,0,215.5,728.5,89,112730,0
20190628,14072586,173650,704599,45267,681385,2119752,146177,85,0,10393,0,197.3,892,180,134688,0
20190629,13739374,224433,1003351,62640,743956,2272912,149272,74,131,13883,0,754.2,1180.2,224,139106,0
20190630,14394748,184888,1176778,81151,779502,2187173,170663,219,32,13883,10,376,1701.8,926,158953,0
20190701,13295405,220392,1357138,87329,770588,2469723,163094,176,96,16729,11,441.4,1079.3,240,142193,0
20190702,12885041,211476,1372989,77508,750879,2362207,161923,195,128,15719,0,204.3,1327,140,128712,0
20190703,13606283,282482,1386074,85377,718441,2357697,165329,97,91,12659,0,276.3,798.9,138,132125,0
20190704,13974426,400497,1362456,90380,754165,2384760,182623,180,67,11811,0,252.3,1208.9,127,127599,0
20190705,16022062,286100,1395501,83364,731355,2291040,184892,180,209,10068,0,522,1082.6,292,174333,0
20190706,15955368,204447,1320726,65655,706776,2404408,176644,337,85,14092,0,365.7,1405,279,163263,0
20190707,15283475,205196,1252294,90931,716563,2318048,196593,276,73,14890,0,524.1,1645.6,806,153987,0
20190708,14201240,211721,1284218,87679,730347,2493761,187791,93,113,13091,10,413.1,1073.9,118,146696,0
20190709,13262041,201754,1192299,77635,712777,2400654,184976,98,182,14474,0,138.6,1340.3,108,119417,0
20190710,13558159,200174,1128320,58026,659857,2029602,166876,35,72,11945,0,307.7,1008.2,358,117378,0
20190711,13032804,187704,1100650,59199,661553,2191393,163360,189,50,13494,19,210.2,943.6,122,121840,0
20190712,14448302,180327,1068543,54793,658409,2249146,174109,191,119,12609,0,392.5,944.7,274,129016,0
20190713,13572830,181176,986139,57481,649393,2044619,172636,1506,162,14663,20,473.6,1446.8,264,140557,0
20190714,14165850,171485,1019351,66940,674350,2012324,158699,1580,113,17163,22,378.2,1233.5,1016,144602,0
20190715,13515474,163121,1033845,74694,738856,2083553,190520,206,133,16309,0,265.8,861.7,156,140272,0
20190716,12523746,187323,1026850,67416,664779,1982461,180358,57,37,14067,0,360.3,630.9,179,113173,0
20190717,11868896,163373,918769,50304,610051,1865948,193479,108,70,12000,9,191.5,781.1,79,109000,0
20190718,12317183,155900,896305,54934,650211,1851962,164123,180,80,12446,18,191.6,839.3,110,113754,0
20190719,13765074,175594,1048970,56434,637722,1945354,174973,553,77,14210,0,508.5,1042.8,249,138542,0
20190720,13609549,190413,982049,52961,692448,1968772,175228,191,17,15248,0,313,1308.8,306,143399,0
20190721,13993708,174797,966472,69149,724892,1994751,172996,304,164,16811,2436,943.2,1458,891,140356,0
20190722,13065056,181271,1024691,62922,740961,1989918,182712,70,118,16104,0,499.3,884.5,150,135660,0
20190723,12116518,181707,980179,50662,640814,2033776,169136,92,137,14327,0,297.1,817.9,200,108543,0
20190724,12260810,183614,922335,51620,623159,1910752,167279,169,38,13497,0,340,936.6,93,108115,0
20190725,12221024,171748,929285,44682,644046,1930723,178214,30,65,11163,0,295,719.1,59,119829,0
20190726,13987062,190410,964513,48481,696701,2096928,159084,92,171,10241,0,196.1,922.9,210,120642,0
20190727,14036536,195499,980118,42971,657113,2132368,165922,1506,291,13075,0,641.6,758.6,342,135194,0
20190728,13708519,178914,981816,54400,695058,2076801,181740,92,2,17905,0,446.6,1255,774,130051,0
20190729,13130418,177390,1078540,66037,818771,2151070,198083,110,115,15704,0,600.8,812.9,115,128397,0
20190730,12270537,191359,1027865,61246,746182,2008788,180575,70,56,16295,0,264.4,574.5,70,107442,0
20190731,12617646,184908,1102293,64613,753138,2135150,178771,69,3,13305,0,166.5,688.4,22,107474,0
20190801,13482591,224200,1131921,63922,790518,2034430,201859,720,99,11197,0,572.1,1013.7,107,107278,0
20190802,15274418,222165,1094715,58220,831369,2155186,193598,1039,144,11242,0,622.1,952.3,226,133374,0
20190803,14827704,216493,1123821,64371,811946,2240543,190164,238,32,13908,0,339.3,910.4,414,140181,0
20190804,15054133,204909,1031769,74370,777434,2145274,181379,199,119,16892,28,240.3,1762.6,794,2937,0
20190805,13979685,217633,1131658,72621,877005,2262772,182435,126,73,12554,10,412.3,1167.2,169,134761,0
20190806,12959905,202400,1210226,73822,837681,2297156,187179,259,84,16060,0,203.5,861.2,183,112049,0
20190807,12757475,192514,1239464,66568,791299,2214716,176715,65,115,10719,0,227.2,785.7,194,111697,0
20190808,13062861,187186,1190045,66822,791263,2170177,181351,131,74,13408,0,331.7,1115.8,81,109383,0
20190809,14768989,202629,1098837,55322,778684,2359324,192417,159,147,15137,11,766.6,928.3,215,136261,0
20190810,14504526,180255,997712,56376,700766,2149024,189779,153,69,14099,0,134,817.7,207,137407,0
20190811,14575700,166584,1005740,56444,685380,2096014,172613,292,17,18002,0,621.3,1236.2,1049,145472,0
